Mã Hóa Đơn,Mã Học Viên,Họ Tên Học Viên,Mã Lớp,Tên Lớp Học,Học Phí Phải Trả (VNĐ),Đã Thanh Toán (VNĐ),Còn Nợ (VNĐ),Tỷ Lệ Đã Thanh Toán (%),Trạng Thái Hóa Đơn,Ngày Lập
HD-COMM-B1-001,HV038,"Bùi Hải Nam",COMM-B1-01,"Giao Tiếp Doanh Nghiệp Tối T2-4-6",3200000,3200000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-012,HV037,"Đỗ Ngọc Diệp",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-011,HV036,"Vũ Tuấn Anh",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-010,HV035,"Hoàng Diệu Linh",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-009,HV034,"Phạm Minh Đức",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-008,HV033,"Lê Khánh An",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-007,HV032,"Trần Cẩm Tú",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-006,HV031,"Nguyễn Gia Bảo",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-005,HV030,"Lưu Quang Vinh",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-004,HV029,"Nghiêm Thu Trang",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-003,HV028,"Quách Thái Sơn",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-002,HV027,"Tạ Hoàng Phúc",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-TOEIC-A2-001,HV026,"Đoàn Kim Oanh",TOEIC-A2-01,"TOEIC Starter Thứ 3-5-7",2800000,2800000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-025,HV025,"Võ Minh Nhật",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-024,HV024,"Lâm Bích Loan",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-023,HV023,"Phan Tuấn Kiệt",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-022,HV022,"Trịnh Khánh Huyền",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-021,HV021,"Mai Tiến Đạt",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-020,HV020,"Lê Hồng Hào",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-019,HV019,"Dương Quốc Huy",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-018,HV018,"Ngô Thanh Hằng",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-017,HV017,"Vũ Đức Hải",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-016,HV016,"Đinh Thị Giang",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-015,HV015,"Hoàng Anh Dũng",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-014,HV014,"Phạm Thu Dung",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-013,HV013,"Lê Minh Cảnh",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-012,HV012,"Trần Thị Bích",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-011,HV011,"Nguyễn Văn An",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-010,HV010,"Lê Trung Cháo",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-009,HV009,"Phạm Quốc Cường",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-008,HV008,"Hoàng Mai Linh",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-007,HV007,"Bùi Đức Thắng",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-006,HV006,"Trịnh Đình Quang",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-005,HV005,"Vũ Bảo Ngọc",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-004,HV004,"Lê Hồng Phong",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-003,HV003,"Nguyễn Hoàng Long",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-002,HV002,"Phạm Văn Hùng",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B1-001,HV001,"Lê Thị Hoa",IELTS-B1-01,"IELTS B1 Buổi tối (Thứ 2-4-6)",3500000,3500000,0,100,"Đã Thanh Toán Đủ",
